UID,APPROPRIATENESS,CONTENT_RICHNESS,GRAMMATICAL_CORRECTNESS,RELEVANCE
TEST-000007-0003,3.1640625,2.724609375,3.478515625,2.708984375
TEST-000007-0004,3.20703125,2.75390625,3.443359375,2.853515625
TEST-000007-0005,2.3828125,2.48828125,1.9189453125,2.197265625
TEST-000007-0006,3.064453125,2.71484375,3.048828125,2.876953125
TEST-000007-0007,3.009765625,2.7578125,1.8671875,2.65234375
TEST-000007-0008,3.1171875,2.82421875,2.998046875,2.884765625
TEST-000007-0009,2.806640625,2.73828125,1.8798828125,2.6640625
TEST-000007-0010,2.7421875,2.705078125,2.091796875,2.32421875
TEST-000007-0011,2.451171875,2.82421875,1.8740234375,2.28515625
TEST-000007-0012,2.767578125,2.81640625,2.046875,2.31640625
TEST-000007-0013,2.333984375,2.583984375,2.572265625,2.05859375
TEST-000007-0014,2.32421875,2.58203125,1.728515625,2.06640625
TEST-000007-0015,2.755859375,2.6015625,2.978515625,2.443359375
TEST-000007-0016,2.572265625,2.634765625,1.5302734375,2.11328125
TEST-000007-0017,2.783203125,2.650390625,1.703125,2.3828125
TEST-000007-0018,2.51953125,2.626953125,1.4716796875,2.017578125
TEST-000007-0019,2.7421875,2.6953125,1.576171875,2.23828125
TEST-000007-0020,2.724609375,2.8046875,1.5322265625,2.25390625
TEST-000007-0021,2.29296875,2.744140625,1.4990234375,1.9013671875
TEST-000007-0022,2.478515625,2.7109375,1.666015625,2.052734375
TEST-000007-0023,2.435546875,2.662109375,1.4404296875,1.9765625
TEST-000007-0024,2.208984375,2.880859375,1.4404296875,1.8701171875
TEST-000007-0025,2.41015625,2.677734375,1.265625,1.8662109375
TEST-000007-0026,2.400390625,2.68359375,1.2275390625,1.7509765625
TEST-000007-0027,2.291015625,2.595703125,1.40234375,1.822265625
TEST-000007-0028,2.357421875,2.654296875,1.283203125,1.83984375
TEST-000008-0001,2.4453125,2.73828125,3.595703125,2.341796875
TEST-000009-0001,2.77734375,2.60546875,3.671875,2.7578125
TEST-000010-0001,2.94140625,2.76953125,3.8046875,2.578125
TEST-000010-0002,2.943359375,2.775390625,3.748046875,2.875
TEST-000010-0003,3.017578125,2.763671875,3.662109375,2.880859375
TEST-000010-0004,3.349609375,2.8359375,3.84375,3.318359375
TEST-000010-0005,3.55078125,2.71484375,3.56640625,3.337890625
TEST-000010-0006,2.93359375,2.509765625,3.435546875,2.94921875
TEST-000010-0007,3.220703125,2.728515625,3.44140625,3.21875
TEST-000010-0008,2.66796875,2.931640625,2.087890625,2.59765625
TEST-000010-0009,3.126953125,2.6875,3.1953125,2.888671875
TEST-000010-0010,3.046875,2.728515625,3.43359375,3.083984375
TEST-000010-0011,3.076171875,2.794921875,3.107421875,2.845703125
TEST-000010-0012,2.8203125,2.4609375,3.060546875,2.75390625
TEST-000010-0013,2.77734375,2.791015625,2.853515625,2.48828125
TEST-000010-0014,2.7578125,2.470703125,3.21875,2.736328125
TEST-000010-0015,2.822265625,2.80078125,2.921875,2.51953125
TEST-000010-0016,2.74609375,2.83984375,3.056640625,2.640625
TEST-000010-0017,2.880859375,2.775390625,2.896484375,2.587890625
TEST-000010-0018,2.72265625,2.57421875,3.0625,2.673828125
TEST-000010-0019,2.900390625,2.83984375,2.861328125,2.65234375
TEST-000011-0001,3.064453125,2.751953125,3.806640625,2.71875
TEST-000011-0002,3.228515625,2.7578125,3.560546875,3.04296875
TEST-000011-0003,3.2421875,2.76171875,3.322265625,3.0234375
TEST-000011-0004,3.341796875,2.689453125,3.55859375,3.31640625
TEST-000011-0005,3.060546875,2.841796875,3.12890625,2.796875
TEST-000011-0006,3.04296875,2.763671875,2.84375,2.775390625
TEST-000011-0007,2.900390625,2.71875,2.708984375,2.666015625
TEST-000011-0008,3.294921875,2.68359375,3.310546875,3.162109375
TEST-000011-0009,3.134765625,2.669921875,3.208984375,3.05078125
TEST-000011-0010,2.974609375,2.787109375,2.650390625,2.65234375
TEST-000011-0011,3.013671875,2.517578125,2.583984375,2.5703125
TEST-000011-0012,3.126953125,2.626953125,2.794921875,2.91015625
TEST-000011-0013,3.189453125,2.599609375,3.17578125,3.05859375
TEST-000011-0014,2.962890625,2.595703125,2.498046875,2.40234375
TEST-000011-0015,2.91796875,2.591796875,2.423828125,2.482421875
TEST-000011-0016,3.119140625,2.673828125,2.65625,2.69140625
TEST-000011-0017,3.12109375,2.626953125,2.9375,2.9296875
TEST-000011-0018,3.021484375,2.775390625,2.40234375,2.47265625
TEST-000011-0019,2.830078125,2.79296875,2.86328125,2.533203125
TEST-000011-0020,2.583984375,2.85546875,1.8125,2.248046875
TEST-000011-0021,2.5703125,2.66015625,1.7431640625,2.162109375
TEST-000011-0022,3.0703125,2.62109375,1.69140625,2.65625
TEST-000011-0023,3.0625,2.68359375,2.5625,2.482421875
TEST-000011-0024,2.8046875,2.59375,1.9873046875,2.287109375
TEST-000011-0025,2.859375,2.552734375,1.650390625,2.36328125
TEST-000011-0026,2.841796875,2.65625,1.5400390625,2.2265625
TEST-000011-0027,2.896484375,2.587890625,1.421875,2.39453125
TEST-000011-0028,2.828125,2.599609375,1.46484375,2.11328125
TEST-000011-0029,2.66796875,2.328125,1.5439453125,2.376953125
TEST-000011-0030,2.69140625,2.634765625,2.328125,2.361328125
TEST-000011-0031,3.029296875,2.791015625,1.533203125,2.6171875
TEST-000011-0032,2.8203125,2.69921875,1.634765625,2.302734375
TEST-000011-0033,2.7109375,2.779296875,1.923828125,2.208984375
TEST-000011-0034,2.458984375,2.69140625,1.6513671875,2.07421875
TEST-000012-0001,2.59375,2.966796875,3.38671875,2.376953125
TEST-000013-0001,2.53125,2.755859375,2.439453125,2.28125
TEST-000013-0002,2.87109375,2.69921875,2.384765625,2.494140625
TEST-000013-0003,2.466796875,2.720703125,2.818359375,1.9365234375
TEST-000014-0001,2.9453125,2.640625,3.96875,2.990234375
TEST-000014-0002,3.03515625,2.748046875,3.673828125,2.822265625
TEST-000014-0003,2.95703125,2.828125,3.5703125,2.810546875
TEST-000014-0004,3.12109375,2.794921875,3.548828125,2.97265625
TEST-000014-0005,3.28515625,2.623046875,3.6796875,3.203125
TEST-000014-0006,3.4765625,2.623046875,3.84765625,3.544921875
TEST-000014-0007,2.669921875,2.6015625,3.20703125,2.533203125
TEST-000014-0008,3.22265625,2.71875,3.447265625,3.046875
TEST-000014-0009,2.357421875,2.380859375,2.9765625,2.34375
TEST-000014-0010,2.78125,2.7265625,3.046875,2.498046875
TEST-000014-0011,2.8671875,2.642578125,3.455078125,2.904296875
TEST-000014-0012,2.759765625,2.654296875,2.951171875,2.5234375
TEST-000014-0013,3.001953125,2.73046875,3.16796875,2.779296875
TEST-000014-0014,2.8984375,2.595703125,3.080078125,2.765625
TEST-000014-0015,2.921875,2.59765625,3.115234375,2.861328125
TEST-000014-0016,2.958984375,2.599609375,3.169921875,2.82421875
TEST-000014-0017,2.67578125,2.6015625,2.9453125,2.5078125
TEST-000014-0018,2.888671875,2.677734375,2.984375,2.576171875
TEST-000014-0019,2.92578125,2.51953125,2.98046875,2.73046875
TEST-000014-0020,2.80859375,2.626953125,3.041015625,2.607421875
TEST-000014-0021,3.080078125,2.724609375,3.041015625,2.806640625
TEST-000014-0022,3.07421875,2.517578125,2.880859375,2.76953125
TEST-000014-0023,2.76171875,2.53125,2.685546875,2.466796875
TEST-000014-0024,2.69140625,2.5234375,2.65234375,2.26171875
TEST-000014-0025,2.65625,2.552734375,2.66015625,2.26171875
TEST-000014-0026,2.923828125,2.56640625,2.89453125,2.6875
TEST-000014-0027,2.7265625,2.59765625,2.775390625,2.48046875
TEST-000014-0028,2.44140625,2.759765625,1.5244140625,1.921875
TEST-000014-0029,2.623046875,2.904296875,1.96484375,2.33203125
TEST-000014-0030,2.6953125,2.61328125,2.52734375,2.294921875
TEST-000014-0031,2.451171875,2.64453125,1.5341796875,2.171875
TEST-000014-0032,2.728515625,2.794921875,1.9736328125,2.279296875
TEST-000014-0033,2.666015625,2.5703125,2.26953125,2.376953125
TEST-000014-0034,2.58203125,2.755859375,1.8720703125,2.212890625
TEST-000015-0001,3.314453125,2.767578125,4.02734375,3.001953125
TEST-000015-0002,3.0234375,2.76953125,3.376953125,2.9609375
TEST-000016-0001,2.529296875,2.755859375,3.419921875,2.125
TEST-000016-0002,2.7890625,2.6796875,3.328125,2.55859375
TEST-000016-0003,3.1953125,2.751953125,3.18359375,2.767578125
TEST-000016-0004,3.044921875,2.669921875,3.017578125,2.75390625
TEST-000016-0005,3.095703125,2.638671875,2.796875,2.73828125
TEST-000016-0006,3.318359375,2.646484375,2.87890625,2.76953125
TEST-000016-0007,2.64453125,2.646484375,2.712890625,2.42578125
TEST-000016-0008,2.96484375,2.828125,1.921875,2.6171875
TEST-000016-0009,2.9296875,2.63671875,2.90625,2.51953125
TEST-000016-0010,3.193359375,2.748046875,1.7236328125,2.611328125
TEST-000016-0011,3.005859375,3.001953125,1.7568359375,2.638671875
TEST-000016-0012,2.896484375,2.615234375,1.61328125,2.376953125
TEST-000016-0013,3.015625,2.58203125,1.6337890625,2.5
TEST-000016-0014,2.7421875,2.64453125,1.9326171875,2.169921875
TEST-000016-0015,2.91796875,2.60546875,1.6484375,2.361328125
TEST-000016-0016,2.521484375,2.61328125,1.6337890625,2.041015625
TEST-000016-0017,2.916015625,2.640625,1.6630859375,2.345703125
TEST-000016-0018,3.037109375,2.73046875,2.185546875,2.021484375
TEST-000016-0019,3.013671875,2.6015625,1.5439453125,2.509765625
TEST-000016-0020,2.708984375,2.5234375,1.49609375,2.0703125
TEST-000016-0021,2.857421875,2.58984375,1.6669921875,2.310546875
TEST-000016-0022,2.703125,2.61328125,1.85546875,2.099609375
TEST-000016-0023,2.857421875,2.58984375,1.5400390625,2.26953125
TEST-000016-0024,2.84375,2.763671875,1.513671875,2.1640625
TEST-000016-0025,2.896484375,2.5859375,1.533203125,2.271484375
TEST-000016-0026,2.763671875,2.599609375,1.4501953125,2.13671875
TEST-000017-0001,3.279296875,2.64453125,3.330078125,3.037109375
TEST-000017-0002,3.47265625,2.666015625,3.6953125,3.02734375
TEST-000017-0003,3.4140625,2.64453125,3.375,3.123046875
TEST-000017-0004,3.484375,2.619140625,3.6875,3.470703125
TEST-000017-0005,3.4375,2.71875,3.255859375,3.033203125
TEST-000017-0006,3.125,2.478515625,3.6015625,2.884765625
TEST-000017-0007,3.37109375,2.498046875,2.849609375,2.810546875
TEST-000017-0008,3.384765625,2.498046875,3.294921875,2.99609375
TEST-000017-0009,3.18359375,2.52734375,1.8193359375,2.693359375
TEST-000017-0010,3.1953125,2.50390625,3.326171875,2.75
TEST-000017-0011,3.32421875,2.51171875,1.8408203125,2.8046875
TEST-000017-0012,3.08984375,2.486328125,2.787109375,2.64453125
TEST-000017-0013,3.3359375,2.5234375,2.634765625,2.701171875
TEST-000017-0014,2.6953125,2.54296875,1.8974609375,2.216796875
TEST-000017-0015,3.21875,2.744140625,1.7255859375,2.69140625
TEST-000017-0016,3.09765625,2.73828125,1.75,2.755859375
TEST-000017-0017,3.2265625,2.4921875,1.7294921875,2.728515625
TEST-000017-0018,2.828125,2.560546875,2.6953125,2.33984375
TEST-000017-0019,2.904296875,2.8125,1.6787109375,2.3671875
TEST-000017-0020,2.8984375,2.576171875,2.76171875,2.2109375
TEST-000017-0021,2.955078125,2.556640625,1.67578125,2.328125
TEST-000017-0022,2.83984375,2.580078125,2.66015625,2.197265625
TEST-000017-0023,3.12109375,2.56640625,1.59765625,2.666015625
TEST-000017-0024,2.884765625,2.58984375,1.828125,2.599609375
TEST-000017-0025,3.244140625,2.638671875,1.693359375,2.763671875
TEST-000017-0026,3.03125,2.59765625,2.373046875,2.47265625
TEST-000017-0027,3.078125,2.72265625,1.58984375,2.62109375
TEST-000017-0028,2.984375,2.587890625,1.6611328125,2.63671875
TEST-000017-0029,3.16015625,2.755859375,1.5654296875,2.658203125
TEST-000017-0030,2.96484375,2.685546875,1.759765625,2.52734375
TEST-000017-0031,3.078125,2.765625,1.6025390625,2.46875
TEST-000017-0032,3.2421875,2.755859375,1.7353515625,2.703125
TEST-000017-0033,3.1484375,2.7421875,1.736328125,2.662109375
TEST-000017-0034,2.794921875,2.59375,1.4951171875,2.384765625
TEST-000017-0035,2.98828125,2.814453125,1.5439453125,2.47265625
TEST-000017-0036,2.859375,2.845703125,1.423828125,2.158203125
TEST-000017-0037,2.896484375,2.83203125,1.4296875,2.201171875
TEST-000017-0038,2.681640625,2.69140625,1.9091796875,2.349609375
TEST-000017-0039,2.8359375,2.701171875,2.40234375,2.3671875
TEST-000018-0001,2.765625,2.5546875,3.03515625,2.2890625
TEST-000018-0002,2.265625,2.6171875,3.041015625,2.1640625
TEST-000018-0003,2.9296875,2.625,3.14453125,2.521484375
TEST-000018-0004,2.7734375,2.61328125,3.14453125,2.69921875
TEST-000018-0005,3.25390625,2.591796875,2.046875,2.927734375
TEST-000018-0006,2.150390625,2.5234375,2.283203125,1.814453125
TEST-000018-0007,3.18359375,2.55859375,2.8046875,2.6015625
TEST-000018-0008,2.798828125,2.525390625,3.021484375,2.390625
TEST-000018-0009,2.712890625,2.87890625,2.36328125,2.322265625
TEST-000018-0010,2.76953125,2.68359375,2.880859375,2.46484375
TEST-000018-0011,3.01953125,2.552734375,2.81640625,2.513671875
TEST-000018-0012,3.0,2.64453125,1.896484375,2.74609375
TEST-000018-0013,2.947265625,2.65625,1.544921875,2.51953125
TEST-000018-0014,2.2265625,2.5703125,1.525390625,1.849609375
TEST-000018-0015,2.685546875,2.568359375,2.08203125,2.251953125
TEST-000018-0016,2.548828125,2.634765625,1.6181640625,2.1953125
TEST-000018-0017,2.544921875,2.640625,1.55078125,2.03125
TEST-000018-0018,2.498046875,2.599609375,1.5693359375,2.044921875
TEST-000018-0019,2.568359375,2.66796875,1.513671875,2.05078125
TEST-000018-0020,2.595703125,2.677734375,1.6162109375,2.099609375
TEST-000018-0021,2.65625,2.76171875,1.5458984375,2.1796875
TEST-000018-0022,2.681640625,2.669921875,1.5283203125,2.16015625
TEST-000018-0023,2.62890625,2.634765625,1.4560546875,2.072265625
TEST-000018-0024,2.6171875,2.662109375,1.513671875,2.08203125
TEST-000018-0025,2.634765625,2.740234375,1.458984375,2.078125
TEST-000018-0026,2.716796875,2.681640625,1.724609375,2.212890625
TEST-000018-0027,2.64453125,2.59375,1.8603515625,2.08984375
TEST-000018-0028,2.70703125,2.6484375,2.0625,2.240234375
TEST-000018-0029,2.611328125,2.681640625,1.7783203125,1.9853515625
TEST-000018-0030,2.9375,2.6484375,2.0546875,2.484375
TEST-000018-0031,2.853515625,2.755859375,1.9013671875,2.373046875
TEST-000019-0001,2.84765625,2.80078125,4.0390625,2.9375
TEST-000020-0001,3.27734375,2.85546875,4.17578125,3.392578125
TEST-000020-0002,3.11328125,2.7578125,3.611328125,2.849609375
TEST-000020-0003,3.240234375,2.634765625,3.841796875,3.306640625
TEST-000020-0004,3.37109375,2.7109375,3.529296875,3.255859375
TEST-000020-0005,3.33203125,2.7265625,3.44921875,3.294921875
TEST-000020-0006,3.306640625,2.669921875,3.396484375,3.224609375
TEST-000020-0007,2.958984375,2.703125,3.716796875,3.271484375
TEST-000020-0008,3.306640625,2.677734375,3.296875,3.17578125
TEST-000020-0009,3.216796875,2.669921875,3.341796875,3.302734375
TEST-000020-0010,3.234375,2.802734375,2.333984375,2.841796875
TEST-000020-0011,2.486328125,2.525390625,2.61328125,2.205078125
TEST-000020-0012,3.236328125,2.728515625,3.171875,3.03515625
TEST-000021-0001,2.79296875,2.80859375,4.0703125,2.802734375
TEST-000022-0001,2.77734375,2.521484375,4.046875,2.876953125
TEST-000023-0001,2.62890625,2.59765625,3.7421875,2.443359375
TEST-000024-0001,3.25,2.7421875,3.833984375,3.1953125
TEST-000025-0001,2.84765625,2.919921875,4.0,2.908203125
TEST-000026-0001,3.087890625,2.859375,4.06640625,3.13671875
TEST-000027-0001,3.06640625,2.7890625,3.767578125,2.84765625
TEST-000027-0002,3.259765625,2.8671875,3.857421875,3.375
TEST-000027-0003,3.8046875,2.71875,4.1171875,4.04296875
TEST-000028-0001,3.060546875,2.76953125,3.376953125,2.83203125
TEST-000028-0002,2.501953125,2.5390625,3.447265625,2.310546875
TEST-000028-0003,3.037109375,2.521484375,3.283203125,2.62890625
TEST-000028-0004,2.984375,2.55078125,3.306640625,2.65625
TEST-000028-0005,3.095703125,2.541015625,3.09765625,2.658203125
TEST-000028-0006,3.052734375,2.53515625,3.572265625,2.92578125
TEST-000028-0007,3.26953125,2.509765625,3.130859375,2.857421875
TEST-000028-0008,3.111328125,2.638671875,3.1953125,2.669921875
TEST-000028-0009,3.09765625,2.71875,2.9296875,2.845703125
TEST-000029-0001,2.923828125,2.771484375,3.1953125,2.435546875
TEST-000029-0002,2.92578125,2.71875,2.951171875,2.41796875
TEST-000029-0003,2.515625,2.5625,3.01171875,2.396484375
TEST-000030-0001,2.833984375,2.490234375,4.06640625,3.056640625
TEST-000031-0001,3.240234375,2.9140625,3.994140625,3.03515625
TEST-000032-0001,3.033203125,2.763671875,3.77734375,2.8515625
TEST-000032-0002,3.361328125,2.845703125,3.82421875,3.44140625
TEST-000032-0003,3.662109375,2.62890625,3.9375,3.83203125
TEST-000033-0001,3.068359375,2.609375,3.884765625,3.08203125
TEST-000034-0001,2.267578125,2.498046875,3.51953125,2.470703125
TEST-000035-0001,2.4375,2.705078125,3.546875,2.216796875
TEST-000036-0001,3.080078125,2.685546875,3.939453125,2.9140625
TEST-000037-0001,2.470703125,2.55859375,3.177734375,1.9609375
TEST-000037-0002,2.630859375,2.794921875,2.748046875,1.7314453125
TEST-000037-0003,2.79296875,2.814453125,2.748046875,2.064453125
TEST-000038-0001,3.0625,2.716796875,3.453125,2.49609375
TEST-000038-0002,3.24609375,2.822265625,2.283203125,2.96484375
TEST-000038-0003,3.05859375,2.77734375,2.21484375,2.783203125
TEST-000039-0001,3.052734375,2.705078125,3.751953125,2.759765625
TEST-000039-0002,3.044921875,2.751953125,3.541015625,2.748046875
TEST-000039-0003,3.033203125,2.736328125,3.125,2.87109375
TEST-000040-0001,2.833984375,2.7421875,4.2109375,3.1484375
TEST-000040-0002,3.044921875,2.71484375,3.85546875,2.9140625
TEST-000040-0003,2.95703125,2.826171875,3.7734375,2.876953125
TEST-000040-0004,2.984375,2.900390625,3.552734375,2.90625
TEST-000040-0005,3.12109375,2.837890625,3.7421875,3.095703125
TEST-000040-0006,2.84765625,2.84375,3.208984375,2.572265625
TEST-000040-0007,2.802734375,2.662109375,3.248046875,2.599609375
TEST-000040-0008,3.08984375,2.82421875,3.298828125,2.861328125
TEST-000040-0009,3.072265625,2.693359375,3.439453125,3.013671875
TEST-000040-0010,2.998046875,2.7109375,3.1640625,2.802734375
TEST-000040-0011,2.92578125,2.830078125,3.306640625,2.927734375
TEST-000040-0012,2.59765625,2.8828125,2.857421875,2.330078125
TEST-000040-0013,2.87109375,2.6640625,3.09375,2.728515625
TEST-000040-0014,2.5546875,2.576171875,2.96875,2.2734375
TEST-000041-0001,3.130859375,2.89453125,4.1484375,3.162109375
TEST-000041-0002,3.57421875,2.861328125,4.1796875,3.3984375
TEST-000041-0003,2.748046875,2.619140625,3.869140625,3.0234375
TEST-000041-0004,3.1953125,2.744140625,3.783203125,3.1328125
TEST-000041-0005,3.29296875,2.615234375,3.833984375,3.181640625
TEST-000041-0006,3.451171875,2.73828125,3.64453125,3.376953125
TEST-000041-0007,3.1796875,2.814453125,3.548828125,2.900390625
TEST-000041-0008,3.408203125,2.740234375,3.68359375,3.35546875
TEST-000041-0009,3.1171875,2.677734375,3.54296875,3.05078125
TEST-000041-0010,3.361328125,2.685546875,3.544921875,3.140625
TEST-000041-0011,3.42578125,2.701171875,3.58984375,3.35546875
TEST-000041-0012,3.2421875,2.625,3.2734375,3.09375
TEST-000041-0013,3.138671875,2.720703125,3.2734375,2.951171875
TEST-000041-0014,3.349609375,2.78515625,3.478515625,3.111328125
TEST-000041-0015,3.236328125,2.583984375,3.44921875,3.05859375
TEST-000041-0016,3.181640625,2.71484375,3.287109375,2.947265625
TEST-000041-0017,3.30859375,2.78515625,3.361328125,3.130859375
TEST-000041-0018,3.181640625,2.80859375,2.857421875,2.802734375
TEST-000041-0019,3.20703125,2.6171875,3.201171875,3.01171875
TEST-000041-0020,3.107421875,2.779296875,2.96875,2.646484375
TEST-000041-0021,3.111328125,2.66796875,3.0546875,2.744140625
TEST-000041-0022,3.248046875,2.759765625,3.10546875,2.845703125
TEST-000041-0023,3.3671875,2.43359375,3.177734375,3.15234375
TEST-000041-0024,3.30078125,2.67578125,3.216796875,2.982421875
TEST-000041-0025,3.28125,2.767578125,3.193359375,2.86328125
TEST-000041-0026,3.015625,2.888671875,3.134765625,2.6328125
TEST-000041-0027,3.142578125,2.880859375,3.1171875,2.748046875
TEST-000041-0028,3.029296875,2.798828125,2.98828125,2.53515625
TEST-000041-0029,3.09375,2.728515625,2.916015625,2.654296875
TEST-000041-0030,2.7890625,2.69140625,2.05859375,2.482421875
TEST-000041-0031,2.94921875,2.59765625,2.80078125,2.466796875
TEST-000041-0032,3.025390625,2.69140625,2.828125,2.701171875
TEST-000041-0033,2.916015625,2.56640625,2.830078125,2.6640625
TEST-000041-0034,2.755859375,2.619140625,1.8017578125,2.40625
TEST-000041-0035,2.96484375,2.55859375,2.787109375,2.654296875
TEST-000041-0036,2.857421875,2.76171875,1.888671875,2.576171875
TEST-000041-0037,2.22265625,2.71875,1.3359375,1.5576171875
TEST-000041-0038,2.4453125,2.822265625,1.412109375,1.9970703125
TEST-000041-0039,2.61328125,2.619140625,2.03125,2.2734375
TEST-000041-0040,2.75390625,2.841796875,2.029296875,2.287109375
TEST-000041-0041,2.45703125,2.49609375,1.814453125,2.01171875
TEST-000041-0042,2.564453125,2.857421875,1.3046875,1.9716796875
TEST-000041-0043,2.6953125,2.677734375,1.9326171875,2.24609375
TEST-000041-0044,2.5546875,2.7890625,1.783203125,2.037109375
TEST-000041-0045,2.564453125,2.87109375,1.8173828125,1.962890625
TEST-000041-0046,2.583984375,2.638671875,2.44921875,2.115234375
TEST-000041-0047,2.470703125,2.734375,2.244140625,1.802734375
TEST-000041-0048,2.52734375,2.744140625,1.4833984375,2.08984375
TEST-000041-0049,2.5546875,2.76171875,1.4267578125,2.1328125
TEST-000041-0050,2.548828125,2.810546875,1.3828125,2.06640625
TEST-000042-0001,2.154296875,2.83984375,3.439453125,2.298828125
TEST-000042-0002,2.86328125,2.69921875,3.8046875,2.873046875
TEST-000042-0003,3.0390625,2.498046875,3.05859375,2.62109375
TEST-000042-0004,3.1015625,2.458984375,3.537109375,3.173828125
TEST-000042-0005,2.7890625,2.490234375,2.853515625,2.6640625
TEST-000042-0006,2.67578125,2.427734375,3.04296875,2.4609375
TEST-000042-0007,2.916015625,2.50390625,2.80859375,2.771484375
TEST-000042-0008,2.857421875,2.5,3.09765625,2.56640625
TEST-000042-0009,2.787109375,2.53515625,2.125,2.572265625
TEST-000042-0010,2.88671875,2.494140625,3.048828125,2.451171875
TEST-000042-0011,2.837890625,2.650390625,2.80078125,2.5703125
TEST-000042-0012,3.04296875,2.75390625,2.984375,2.556640625
TEST-000042-0013,2.65625,2.744140625,2.001953125,2.2734375
TEST-000042-0014,2.91015625,2.775390625,2.677734375,2.56640625
TEST-000042-0015,2.6171875,2.73828125,1.9375,2.2421875
TEST-000042-0016,2.857421875,2.767578125,2.513671875,2.30078125
TEST-000042-0017,2.7265625,2.771484375,1.958984375,2.30078125
TEST-000042-0018,2.7734375,2.666015625,2.091796875,2.44921875
TEST-000042-0019,2.76171875,2.732421875,1.6171875,2.263671875
TEST-000042-0020,2.9921875,2.8125,2.54296875,2.45703125
TEST-000042-0021,2.84765625,2.736328125,1.484375,2.330078125
TEST-000042-0022,2.822265625,2.521484375,2.490234375,2.306640625
TEST-000042-0023,2.6640625,2.615234375,2.2421875,2.2734375
TEST-000042-0024,2.814453125,2.611328125,2.623046875,2.537109375
